ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600616.SH,20220803,6.23,6.4,6.18,6.23,6.25,-0.019999999999999574,-0.32,111680.32,70430.679
600616.SH,20220802,6.55,6.56,6.15,6.25,6.69,-0.4400000000000004,-6.577,247911.81,156369.556
600616.SH,20220801,6.69,6.8,6.6,6.69,6.69,0.0,0.0,175465.87,117834.162
600616.SH,20220729,6.85,6.98,6.65,6.69,6.97,-0.27999999999999936,-4.0172,341295.56,231226.464
600616.SH,20220728,6.59,7.19,6.52,6.97,6.54,0.4299999999999997,6.5749,504692.88,354370.631
600616.SH,20220727,6.56,6.62,6.5,6.54,6.61,-0.07000000000000028,-1.059,85549.22,55996.38
600616.SH,20220726,6.54,6.7,6.53,6.61,6.53,0.08000000000000007,1.2251,111231.0,73236.766
600616.SH,20220725,6.58,6.68,6.46,6.53,6.58,-0.04999999999999982,-0.7599,75688.03,49504.893
600616.SH,20220722,6.68,6.75,6.5,6.58,6.71,-0.1299999999999999,-1.9374,116660.43,77226.895
600616.SH,20220721,6.61,6.92,6.59,6.71,6.59,0.1200000000000001,1.8209,172180.28,116667.159
600616.SH,20220720,6.52,6.65,6.5,6.59,6.53,0.05999999999999961,0.9188,89101.32,58564.02
600616.SH,20220719,6.43,6.54,6.38,6.53,6.43,0.10000000000000053,1.5552,70380.17,45706.731
600616.SH,20220718,6.32,6.43,6.29,6.43,6.31,0.1200000000000001,1.9017,96600.48,61588.963
600616.SH,20220715,6.5,6.56,6.22,6.31,6.69,-0.3800000000000008,-5.6801,190526.83,121885.359
600616.SH,20220714,6.7497,6.7896,6.68,6.69,6.7497,-0.05969999999999942,-0.8845,86105.54,58266.248
600616.SH,20220713,6.6502,6.8095,6.6502,6.7497,6.6601,0.0895999999999999,1.3453,81121.46,54914.478
600616.SH,20220712,6.8991,6.9389,6.6601,6.6601,6.8792,-0.21910000000000007,-3.185,120298.72,81721.657
600616.SH,20220711,7.0285,7.0285,6.8194,6.8792,7.0285,-0.1493000000000002,-2.1242,100542.45,69472.113
600616.SH,20220708,6.9289,7.0484,6.8891,7.0285,6.9289,0.09960000000000058,1.4375,123561.04,86630.679
600616.SH,20220707,6.8294,6.9488,6.7896,6.9289,6.8592,0.06969999999999921,1.0162,129918.42,89745.087
600616.SH,20220706,7.1679,7.1977,6.7896,6.8592,7.2276,-0.3683999999999994,-5.0971,263583.43,183094.229
600616.SH,20220705,7.367,7.3869,7.1479,7.2276,7.3869,-0.1593,-2.1565,207205.1,150709.13
600616.SH,20220704,7.2375,7.3869,7.1878,7.3869,7.3371,0.0497999999999994,0.6787,213560.06,156585.707
600616.SH,20220701,7.3869,7.4566,7.1878,7.3371,7.4964,-0.1593,-2.125,322172.06,236810.206
600616.SH,20220630,7.1579,7.8747,7.1579,7.4964,7.1579,0.3385000000000007,4.729,560066.34,426094.5
600616.SH,20220629,7.1778,7.357,7.0882,7.1579,7.2176,-0.05970000000000031,-0.8271,261334.09,189584.116
